Low	Reg	High
TRINITY_DN14737_c0_g1	41.366	0.712	1.855
TRINITY_DN15720_c0_g1	8.450	0.986	1.986
TRINITY_DN21761_c0_g1	45.390	1.431	3.382
TRINITY_DN22747_c0_g1	19.005	0.750	1.025
TRINITY_DN24149_c0_g1	8.206	2.519	1.241
TRINITY_DN27359_c0_g1	16.167	0.415	1.772
TRINITY_DN27482_c0_g1	21.463	1.805	2.582
TRINITY_DN28534_c0_g1	12.908	3.047	2.158
TRINITY_DN33498_c0_g1	11.770	0.526	0.366
TRINITY_DN36064_c0_g1	45.711	0.372	1.280
TRINITY_DN36064_c0_g2	233.616	3.783	13.645
TRINITY_DN38855_c0_g1	38.038	2.096	2.508
TRINITY_DN39660_c0_g1	29.583	0.572	2.457
TRINITY_DN44490_c0_g1	422.259	17.799	30.514
TRINITY_DN48705_c0_g1	3.443	0.182	0.100
TRINITY_DN50783_c0_g1	3.746	0.270	2.527
TRINITY_DN53453_c0_g1	2.635	0.086	0.000
TRINITY_DN57597_c0_g1	3.811	0.000	0.053
TRINITY_DN8805_c0_g1	6.115	0.000	0.139
