Low	Reg	High
TRINITY_DN14737_c0_g1	2.84016552921512	-1.78898678653209	-1.05117874268303
TRINITY_DN15720_c0_g1	1.30418295677623	-0.946265749691197	-0.35791720708503
TRINITY_DN21761_c0_g1	2.55278150148515	-1.70141054622332	-0.851370955261828
TRINITY_DN22747_c0_g1	2.27310020569563	-1.24183359581764	-1.03126660987799
TRINITY_DN24149_c0_g1	1.1419469073959	-0.245462021078317	-0.896484886317588
TRINITY_DN27359_c0_g1	2.07713425627992	-1.52362973034895	-0.553504525930978
TRINITY_DN27482_c0_g1	1.88339710506557	-1.11808083577769	-0.765316269287881
TRINITY_DN28534_c0_g1	1.30660737130853	-0.474382846749672	-0.83222452455886
TRINITY_DN33498_c0_g1	2.09655359801852	-0.968378059737039	-1.12817553828148
TRINITY_DN36064_c0_g1	3.14868884863878	-1.94072109575903	-1.20796775287974
TRINITY_DN36064_c0_g2	3.20602103573018	-2.4102207662553	-0.795800269474877
TRINITY_DN38855_c0_g1	2.37752008513669	-1.27888168071851	-1.09863840441819
TRINITY_DN39660_c0_g1	2.47573141149421	-1.806325398749	-0.669406012745211
TRINITY_DN44490_c0_g1	2.74676295855148	-1.7460499608749	-1.00071299767658
TRINITY_DN48705_c0_g1	1.30811157447682	-0.602192531355654	-0.705919043121164
TRINITY_DN50783_c0_g1	0.776718042767372	-1.12516556076705	0.348447517999676
TRINITY_DN53453_c0_g1	1.20162887504915	-0.54130238595344	-0.660326489095715
TRINITY_DN57597_c0_g1	1.48605605415888	-0.780280745261255	-0.705775308897625
TRINITY_DN8805_c0_g1	1.82465325548583	-1.00621050126593	-0.818442754219903
