Low	Reg	High
TRINITY_DN1098_c0_g1	2.764	1.788	0.476
TRINITY_DN11582_c0_g1	3.474	0.095	0.458
TRINITY_DN17301_c0_g1	22.099	1.131	1.547
TRINITY_DN17357_c0_g1	4.774	0.730	1.150
TRINITY_DN17506_c0_g1	7.880	0.113	0.228
TRINITY_DN17863_c0_g1	6.454	1.225	4.234
TRINITY_DN21340_c1_g1	29.010	6.132	20.070
TRINITY_DN21635_c0_g1	4.683	0.982	1.926
TRINITY_DN2179_c0_g1	8.771	0.081	0.159
TRINITY_DN22555_c0_g1	69.768	4.516	16.332
TRINITY_DN23038_c0_g1	0.616	5.844	5.201
TRINITY_DN25672_c0_g1	6.292	1.223	0.750
TRINITY_DN27719_c0_g1	6.930	0.370	0.877
TRINITY_DN27900_c0_g1	16.669	0.280	1.276
TRINITY_DN28015_c0_g1	23.022	0.226	0.464
TRINITY_DN30244_c0_g1	35.356	2.258	5.292
TRINITY_DN30348_c0_g1	7.803	0.846	0.865
TRINITY_DN30388_c0_g2	3.506	0.351	1.485
TRINITY_DN31254_c0_g1	9.913	1.033	4.726
TRINITY_DN35228_c0_g1	59.864	1.292	5.004
TRINITY_DN36035_c0_g1	17.136	0.686	2.724
TRINITY_DN37723_c0_g1	61.412	1.338	4.262
TRINITY_DN40394_c0_g1	63.675	12.927	30.560
TRINITY_DN40635_c0_g1	38.443	1.879	4.472
TRINITY_DN40976_c2_g1	21.742	7.472	4.873
TRINITY_DN45249_c0_g1	2.906	12.204	29.949
TRINITY_DN45507_c0_g4	167.080	22.983	61.171
TRINITY_DN48754_c0_g1	1.705	0.000	1.063
TRINITY_DN5086_c0_g1	0.224	2.263	2.574
TRINITY_DN56873_c0_g1	4.163	1.360	0.502
TRINITY_DN59417_c0_g1	3.085	0.000	0.000
TRINITY_DN59801_c0_g1	1.813	0.000	0.279
TRINITY_DN6945_c0_g1	4.377	0.950	0.614
TRINITY_DN7342_c0_g1	4.112	0.224	0.661
TRINITY_DN9257_c0_g1	6.585	1.384	1.055
