Low	Reg	High
TRINITY_DN15671_c0_g1	11.826	1.557	4.989
TRINITY_DN26573_c0_g1	79.441	59.640	89.694
TRINITY_DN31823_c0_g1	12.856	1.268	3.255
TRINITY_DN32233_c0_g1	133.763	77.141	82.335
TRINITY_DN34099_c0_g1	45.201	0.375	0.577
TRINITY_DN37866_c0_g1	71.769	3.095	7.903
TRINITY_DN46323_c0_g1	12.667	19.371	23.596
TRINITY_DN47538_c2_g1	78.967	36.396	50.633
TRINITY_DN47538_c3_g1	477.964	495.550	381.745
TRINITY_DN47538_c3_g2	173.397	94.933	132.923
TRINITY_DN47538_c3_g3	478.923	354.489	347.461
TRINITY_DN48289_c0_g3	202.382	178.077	168.230
TRINITY_DN52951_c0_g1	5.568	0.000	0.000
TRINITY_DN55871_c0_g1	5.637	0.085	0.000
TRINITY_DN5834_c0_g1	0.000	3.722	6.469
TRINITY_DN60554_c0_g1	2.999	0.000	0.000
TRINITY_DN61636_c0_g1	0.113	7.895	0.041
TRINITY_DN62434_c0_g1	4.346	0.111	0.000
TRINITY_DN7713_c0_g1	5.360	0.773	1.894
TRINITY_DN9215_c0_g1	4.173	0.606	2.786
