Low	Reg	High
TRINITY_DN12754_c0_g1	3.771	0.390	1.447
TRINITY_DN13730_c0_g1	4.599	0.564	1.551
TRINITY_DN35935_c1_g1	50.385	10.614	24.748
TRINITY_DN38142_c0_g1	64.829	14.863	22.474
TRINITY_DN39066_c0_g1	89.422	7.426	16.296
TRINITY_DN48757_c0_g1	6.313	0.204	0.363
TRINITY_DN48995_c0_g1	4.257	0.526	0.602
TRINITY_DN50402_c0_g1	28.830	4.701	11.005
TRINITY_DN50973_c0_g1	3.441	0.293	0.759
TRINITY_DN52632_c0_g1	3.940	0.085	0.309
TRINITY_DN57840_c0_g1	2.347	0.320	0.109
TRINITY_DN58537_c0_g1	2.972	0.124	0.132
