Low	Reg	High
TRINITY_DN12754_c0_g1	0.91416146275945	-0.865045340613985	-0.0491161221454652
TRINITY_DN13730_c0_g1	0.99134498283872	-0.84858368456692	-0.1427612982718
TRINITY_DN35935_c1_g1	1.04745641430934	-1.09802592455818	0.0505695102488408
TRINITY_DN38142_c0_g1	1.18023907532251	-0.872818568432054	-0.30742050689046
TRINITY_DN39066_c0_g1	1.9366631357846	-1.4870908714785	-0.449572264306104
TRINITY_DN48757_c0_g1	1.67543525660363	-0.927192713324569	-0.748242543279061
TRINITY_DN48995_c0_g1	1.16628345330017	-0.618201319437175	-0.548082133862995
TRINITY_DN50402_c0_g1	1.23353521506477	-1.15394185602474	-0.0795933590400262
TRINITY_DN50973_c0_g1	1.038763794884	-0.741398501272855	-0.297365293611148
TRINITY_DN52632_c0_g1	1.367620647889	-0.819195351251199	-0.5484252966378
TRINITY_DN57840_c0_g1	0.978646602321845	-0.363684019118869	-0.614962583202975
TRINITY_DN58537_c0_g1	1.21073841733465	-0.610485169972801	-0.600253247361845
