	A_Low_1	B_Low_2	C_Low_3	D_Reg_1	E_Reg_2	F_Reg_3	G_High_1	H_High_2	I_High_3
	A_Low_1	B_Low_2	C_Low_3	D_Reg_1	E_Reg_2	F_Reg_3	G_High_1	H_High_2	I_High_3
TRINITY_DN12754_c0_g1	4.201	2.442	4.670	0.414	0.344	0.413	1.073	2.245	1.024
TRINITY_DN13730_c0_g1	5.843	2.565	5.390	0.967	0.375	0.351	1.183	2.297	1.173
TRINITY_DN35935_c1_g1	42.636	73.246	35.273	16.007	7.565	8.271	29.036	26.447	18.760
TRINITY_DN38142_c0_g1	44.178	104.410	45.898	21.700	12.608	10.282	26.179	24.691	16.553
TRINITY_DN39066_c0_g1	119.597	64.448	84.221	11.025	7.169	4.084	12.904	24.888	11.095
TRINITY_DN48757_c0_g1	7.526	4.613	6.799	0.074	0.281	0.258	0.441	0.509	0.139
TRINITY_DN48995_c0_g1	5.783	3.449	3.539	0.191	0.625	0.763	0.251	0.790	0.766
TRINITY_DN50402_c0_g1	29.902	33.590	22.997	6.469	5.387	2.248	14.137	10.548	8.331
TRINITY_DN50973_c0_g1	4.957	1.838	3.529	0.446	0.000	0.433	0.221	1.299	0.756
TRINITY_DN52632_c0_g1	3.194	2.451	6.176	0.255	0.000	0.000	0.170	0.270	0.487
TRINITY_DN57840_c0_g1	2.922	1.261	2.858	0.659	0.052	0.248	0.050	0.218	0.060
TRINITY_DN58537_c0_g1	2.206	1.033	5.677	0.372	0.000	0.000	0.000	0.395	0.000
