"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-400 0.772062141564453 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.895592084214765
-523 0.173385717283932 1 78 "GO:0000003" "reproduction" 0.455093809045074
-2277 0.0333088720143129 4 10 "GO:0000011" "vacuole inheritance" 0.177127499516716
3730 0.00352710369774142 2 7 "GO:0000012" "single strand break repair" 0.0432629637849854
927 0.0241493805825429 4 68 "GO:0000018" "regulation of DNA recombination" 0.144824941159711
1623 0.11144661153932 5 11 "GO:0000019" "regulation of mitotic recombination" 0.357403825315671
-619 0.187970794138841 4 52 "GO:0000027" "ribosomal large subunit assembly" 0.467973912508061
-313 0.643742407575662 2 25 "GO:0000028" "ribosomal small subunit assembly" 0.838685676995546
-1445 0.0238529191340938 3 28 "GO:0000038" "very long-chain fatty acid metabolic process" 0.143895705097719
-1107 0.00897493137810493 3 64 "GO:0000041" "transition metal ion transport" 0.0801307112283652
-733 0.122378001285675 3 51 "GO:0000045;GO:1905037" "autophagosome organization" 0.3778022915289
-630 0.598527295170103 4 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.81078530753445
-553 0.488126616068911 8 18 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.737000394659643
606 0.570795285914316 3 10 "GO:0000055" "ribosomal large subunit export from nucleus" 0.79500132446385
153 0.905027716239943 3 7 "GO:0000056" "ribosomal small subunit export from nucleus" 0.952856094700209
769 0.309726546126956 3 20 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.587954486033063
1153 0.000502421468591239 2 105 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.0112697854280687
603 0.403652147584706 2 22 "GO:0000076" "DNA replication checkpoint" 0.668085680876847
967 0.0148292998632837 4 73 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.109268525308406
680 0.159852106490156 3 49 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.43480686086935
1455 0.0150665600236533 3 32 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.110216637290148
215 0.714895680894072 5 33 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.868744826228654
-544 0.176343446201092 2 71 "GO:0000096" "sulfur amino acid metabolic process" 0.458307545517083
-1042 0.0239235470297932 2 54 "GO:0000097;GO:0006555;GO:0009086" "sulfur amino acid biosynthetic process" 0.143895705097719
-800 0.478009460100398 2 9 "GO:0000098" "sulfur amino acid catabolic process" 0.729045232159135
-415 0.713116532935347 4 9 "GO:0000103" "sulfate assimilation" 0.868500039806827
-1834 0.225321617145747 4 5 "GO:0000105" "histidine biosynthetic process" 0.508015273214478
689 0.00898016591352369 2 167 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0801307112283652
-1877 0.000329502336945913 3 42 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.00820723612270188
-312 0.555281146570491 2 41 "GO:0000154" "rRNA modification" 0.783336155342666
