"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1128 0.447447437660869 6 6 "GO:0000002" "mitochondrial genome maintenance" 0.779817139664168
-1079 0.00775582347980392 1 81 "GO:0000003" "reproduction" 0.111177898145744
-1977 0.0857110881832546 6 10 "GO:0000011" "vacuole inheritance" 0.398028392511463
1761 0.171046245932673 3 8 "GO:0000012" "single strand break repair" 0.539110097870548
817 0.0573485902035788 2 72 "GO:0000018" "regulation of DNA recombination" 0.326648950303321
1966 0.0513998207305358 7 13 "GO:0000019" "regulation of mitotic recombination" 0.314880426704074
477 0.341065805366359 3 53 "GO:0000027" "ribosomal large subunit assembly" 0.705781542754159
-322 0.658196472977654 7 25 "GO:0000028" "ribosomal small subunit assembly" 0.879619555122539
-1625 0.0181744427955934 2 28 "GO:0000038" "very long-chain fatty acid metabolic process" 0.181470302764705
-1001 0.0235571052979397 2 68 "GO:0000041" "transition metal ion transport" 0.207203338810089
-96 0.843929038142013 2 56 "GO:0000045;GO:1905037" "autophagosome organization" 0.95719771753069
758 0.555918885846043 7 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.830103325612855
210 0.78633095466518 8 22 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.940145463384593
786 0.435935447166211 2 13 "GO:0000055" "ribosomal large subunit export from nucleus" 0.775697742018922
1178 0.359963320223547 3 8 "GO:0000056" "ribosomal small subunit export from nucleus" 0.724500892254883
491 0.536356525490771 5 21 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.819041507127354
-193 0.580889934701893 2 109 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.841515990125662
-1358 0.08012924077933 5 22 "GO:0000076" "DNA replication checkpoint" 0.386136064562907
-487 0.24737539409046 2 75 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.618459444805178
144 0.779609342647436 6 50 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.938200985289291
-433 0.501498849583176 4 32 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.805915612582211
-512 0.419301741714012 5 33 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.763662893147839
149 0.711883319802785 2 82 "GO:0000096" "sulfur amino acid metabolic process" 0.904576797486629
-343 0.45879430407024 2 62 "GO:0000097;GO:0006555;GO:0009086" "sulfur amino acid biosynthetic process" 0.785942026234499
-63 0.956543376018756 4 10 "GO:0000098" "sulfur amino acid catabolic process" 0.989462298837921
829 0.471495505245452 3 10 "GO:0000103" "sulfate assimilation" 0.791773652485582
3870 0.00262579588585818 2 8 "GO:0000105" "histidine biosynthetic process" 0.0620406285602815
654 0.0155219680718924 4 184 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.166284057959914
-1953 0.000511326212133351 2 42 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.0194210992208467
-73 0.893657410861399 2 44 "GO:0000154" "rRNA modification" 0.973426629122079
1584 0.0154704810785158 4 31 "GO:0000160" "phosphorelay signal transduction system" 0.166158534565653
190 0.707508839138386 2 52 "GO:0000165" "MAPK cascade" 0.90286253204648
-89 0.952059440696791 7 6 "GO:0000183" "rDNA heterochromatin assembly" 0.988249526268619
981 0.0967541328493634 2 38 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.42150821260597
-1015 0.494537957074493 2 6 "GO:0000186" "activation of MAPKK activity" 0.805172264040483
-1848 0.00356531821993487 2 33 "GO:0000187" "activation of MAPK activity" 0.075231815772161
-1928 0.0401429748103089 8 15 "GO:0000188" "inactivation of MAPK activity" 0.274496479144796
103 0.676399214665238 2 219 "GO:0000209" "protein polyubiquitination" 0.887959035770616
-3426 0.00472865581103429 4 9 "GO:0000212;GO:0007056;GO:0090306" "spindle assembly involved in meiosis" 0.0893951311244401
-471 0.0325969574510449 4 279 "GO:0000226" "microtubule cytoskeleton organization" 0.242331117847804
2363 0.00117584204537608 8 25 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.0352243604602943
2157 0.00369671420637513 7 24 "GO:0000245" "spliceosomal complex assembly" 0.076840158976295
1663 0.170340796488665 6 9 "GO:0000266" "mitochondrial fission" 0.539110097870548
-1830 0.131417185195639 4 9 "GO:0000270" "peptidoglycan metabolic process" 0.482109675761854
900 0.257166700563379 2 21 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 0.6258599167523
-908 0.0210031051421814 2 86 "GO:0000272" "polysaccharide catabolic process" 0.195648180516769
-406 0.178423603786722 3 147 "GO:0000278" "mitotic cell cycle" 0.547322919692309
-214 0.64448659134975 6 62 "GO:0000280;GO:0048285" "organelle fission" 0.87169471630277
-2 0.995510699660947 2 135 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.998138637673011
1295 0.237892900506498 2 11 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.606491941717367
602 0.459699448052467 2 20 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.785942026234499
-374 0.801395290480673 6 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.944490101654594
-733 0.393044073328518 2 18 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.742474361859479
-75 0.821649978106728 2 121 "GO:0000302" "response to reactive oxygen species" 0.949156250699659
-740 0.481448737365397 2 12 "GO:0000338" "protein deneddylation" 0.797262316572584
756 0.00152025082126202 3 237 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.0423440528748848
902 0.390792568958067 2 12 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.742082550715676
