#Gene_ID	#KEGG_Pathway
TRINITY_DN10010_c0_g1	ko00010"Glycolysis_/_Gluconeogenesis",ko00020"Citrate_cycle_(TCA_cycle)",ko00620"Pyruvate_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism"
TRINITY_DN10030_c0_g1	ko00120"Primary_bile_acid_biosynthesis",ko01100"Metabolic_pathways",ko03320"PPAR_signaling_pathway",ko04979"Cholesterol_metabolism"
TRINITY_DN10130_c0_g1	ko04140"Autophagy_-_animal",ko05130"Pathogenic_Escherichia_coli_infection",ko05134"Legionellosis"
TRINITY_DN10181_c1_g1	ko00562"Inositol_phosphate_metabolism",ko01100"Metabolic_pathways",ko01521"EGFR_tyrosine_kinase_inhibitor_resistance",ko01522"Endocrine_resistance",ko01524"Platinum_drug_resistance",ko04012"ErbB_signaling_pathway",ko04014"Ras_signaling_pathway",ko04015"Rap1_signaling_pathway",ko04024"cAMP_signaling_pathway",ko04062"Chemokine_signaling_pathway",ko04066"HIF-1_signaling_pathway",ko04068"FoxO_signaling_pathway",ko04070"Phosphatidylinositol_signaling_system",ko04071"Sphingolipid_signaling_pathway",ko04072"Phospholipase_D_signaling_pathway",ko04140"Autophagy_-_animal",ko04150"mTOR_signaling_pathway",ko04151"PI3K-Akt_signaling_pathway",ko04152"AMPK_signaling_pathway",ko04210"Apoptosis",ko04211"Longevity_regulating_pathway",ko04212"Longevity_regulating_pathway_-_worm",ko04213"Longevity_regulating_pathway_-_multiple_species",ko04218"Cellular_senescence",ko04360"Axon_guidance",ko04361"Axon_regeneration",ko04370"VEGF_signaling_pathway",ko04380"Osteoclast_differentiation",ko04510"Focal_adhesion",ko04550"Signaling_pathways_regulating_pluripotency_of_stem_cells",ko04611"Platelet_activation",ko04620"Toll-like_receptor_signaling_pathway",ko04625"C-type_lectin_receptor_signaling_pathway",ko04630"JAK-STAT_signaling_pathway",ko04650"Natural_killer_cell_mediated_cytotoxicity",ko04660"T_cell_receptor_signaling_pathway",ko04662"B_cell_receptor_signaling_pathway",ko04664"Fc_epsilon_RI_signaling_pathway",ko04666"Fc_gamma_R-mediated_phagocytosis",ko04668"TNF_signaling_pathway",ko04670"Leukocyte_transendothelial_migration",ko04722"Neurotrophin_signaling_pathway",ko04725"Cholinergic_synapse",ko04750"Inflammatory_mediator_regulation_of_TRP_channels",ko04810"Regulation_of_actin_cytoskeleton",ko04910"Insulin_signaling_pathway",ko04914"Progesterone-mediated_oocyte_maturation",ko04915"Estrogen_signaling_pathway",ko04917"Prolactin_signaling_pathway",ko04919"Thyroid_hormone_signaling_pathway",ko04923"Regulation_of_lipolysis_in_adipocytes",ko04926"Relaxin_signaling_pathway",ko04929"GnRH_secretion",ko04930"Type_II_diabetes_mellitus",ko04931"Insulin_resistance",ko04932"Non-alcoholic_fatty_liver_disease_(NAFLD)",ko04933"AGE-RAGE_signaling_pathway_in_diabetic_complications",ko04935"Growth_hormone_synthesis,_secretion_and_action",ko04960"Aldosterone-regulated_sodium_reabsorption",ko04973"Carbohydrate_digestion_and_absorption",ko05100"Bacterial_invasion_of_epithelial_cells",ko05135"Yersinia_infection",ko05142"Chagas_disease_(American_trypanosomiasis)",ko05146"Amoebiasis",ko05160"Hepatitis_C",ko05161"Hepatitis_B",ko05162"Measles",ko05163"Human_cytomegalovirus_infection",ko05164"Influenza_A",ko05165"Human_papillomavirus_infection",ko05166"Human_T-cell_leukemia_virus_1_infection",ko05167"Kaposi_sarcoma-associated_herpesvirus_infection",ko05168"Herpes_simplex_virus_1_infection",ko05169"Epstein-Barr_virus_infection",ko05170"Human_immunodeficiency_virus_1_infection",ko05200"Pathways_in_cancer",ko05203"Viral_carcinogenesis",ko05205"Proteoglycans_in_cancer",ko05206"MicroRNAs_in_cancer",ko05210"Colorectal_cancer",ko05211"Renal_cell_carcinoma",ko05212"Pancreatic_cancer",ko05213"Endometrial_cancer",ko05214"Glioma",ko05215"Prostate_cancer",ko05218"Melanoma",ko05220"Chronic_myeloid_leukemia",ko05221"Acute_myeloid_leukemia",ko05222"Small_cell_lung_cancer",ko05223"Non-small_cell_lung_cancer",ko05224"Breast_cancer",ko05225"Hepatocellular_carcinoma",ko05226"Gastric_cancer",ko05230"Central_carbon_metabolism_in_cancer",ko05231"Choline_metabolism_in_cancer",ko05235"PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",ko05418"Fluid_shear_stress_and_atherosclerosis"
TRINITY_DN10187_c0_g1	ko03040"Spliceosome"
TRINITY_DN102_c0_g1	ko03018"RNA_degradation"
TRINITY_DN10201_c0_g1	ko00230"Purine_metabolism",ko00564"Glycerophospholipid_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN10216_c0_g1	ko03013"RNA_transport"
TRINITY_DN10221_c0_g1	ko01524"Platinum_drug_resistance",ko03460"Fanconi_anemia_pathway"
TRINITY_DN10247_c0_g1	ko03013"RNA_transport"
