Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Single_T2.1,Coverage (%) Chronic_T4.1,Coverage (%) Control_T1.1,Coverage (%) Episodic_T3.1,Coverage (%) Control_T1.2,Coverage (%) Episodic_T3.2,Coverage (%) Chronic_T4.2,Coverage (%) Single_T2.2,Coverage (%) Control_T1.3,Coverage (%) Episodic_T3.3,Coverage (%) Single_T2.3,Coverage (%) Chronic_T4.3,Area Single_T2.1,Area Chronic_T4.1,Area Control_T1.1,Area Episodic_T3.1,Area Control_T1.2,Area Episodic_T3.2,Area Chronic_T4.2,Area Single_T2.2,Area Control_T1.3,Area Episodic_T3.3,Area Single_T2.3,Area Chronic_T4.3,#Peptides,#Unique,#Spec Single_T2.1,#Spec Chronic_T4.1,#Spec Control_T1.1,#Spec Episodic_T3.1,#Spec Control_T1.2,#Spec Episodic_T3.2,#Spec Chronic_T4.2,#Spec Single_T2.2,#Spec Control_T1.3,#Spec Episodic_T3.3,#Spec Single_T2.3,#Spec Chronic_T4.3,PTM,Avg. Mass,Description
1,1,TRINITY_DN32534_c0_g1_i1.p1,564.95,92,92,91,80,92,85,84,88,92,87,92,90,89,1.4786E8,6.4003E7,6.1211E7,1.2407E8,1.067E8,1.4913E8,9.2421E7,2.7017E8,2.7573E8,2.0718E8,1.5945E8,3.4748E7,201,11,322,209,287,322,291,340,213,332,347,295,320,191,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 21 more,40956,TRINITY_DN32534_c0_g1_i1.p1
2,3,TRINITY_DN32534_c0_g1_i3.p1,564.11,92,90,90,78,92,83,83,88,91,86,91,88,87,4.3715E6,1.2772E7,5.7047E6,1.9369E7,8.5627E6,3.7326E7,2.1602E7,2.7595E7,2.646E7,5.7592E7,1.9199E7,8.3488E6,201,11,308,206,275,313,277,325,208,320,329,291,307,188,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 21 more,41239,TRINITY_DN32534_c0_g1_i3.p1
4,5,TRINITY_DN46728_c0_g3_i1.p1,509.19,84,77,75,65,71,80,73,73,73,73,84,74,70,1.0363E9,9.4012E8,5.1929E8,9.536E8,7.2738E8,1.399E9,5.2502E8,1.6046E9,7.2234E8,2.1105E9,6.5348E8,7.0327E8,140,129,143,115,102,126,125,159,102,169,127,190,136,114,Carbamidomethylation; Oxidation (M); Dihydroxy; Deamidation (NQ); Formylation; 6 more,63806,TRINITY_DN46728_c0_g3_i1.p1
5,34,TRINITY_DN48757_c0_g1_i1.p1,508.25,92,88,72,78,86,86,77,45,91,88,87,91,81,1.0841E9,1.488E8,6.5665E8,8.2303E8,4.7085E8,4.7203E8,3.4233E7,1.3549E9,8.494E8,8.6125E8,6.1543E8,2.1306E8,145,119,171,53,119,143,102,97,24,178,157,151,147,72,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Methylation(others); 7 more,47511,TRINITY_DN48757_c0_g1_i1.p1
9,13,TRINITY_DN43849_c0_g1_i1.p1,492.78,80,72,66,75,71,76,65,61,73,76,73,68,66,1.1919E9,5.5502E8,7.6224E8,1.0355E9,9.8908E8,5.8544E8,3.2784E8,1.4284E9,1.0485E9,8.4648E8,5.8857E8,4.1034E8,98,98,120,71,104,109,115,83,63,131,130,92,88,70,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 16 more,62620,TRINITY_DN43849_c0_g1_i1.p1
6,178,TRINITY_DN12754_c0_g1_i1.p1,480.37,58,44,32,37,40,48,40,35,48,58,36,36,33,2.6867E9,1.7588E9,1.6258E9,2.332E9,1.9791E9,1.27E9,9.1769E8,3.14E9,1.959E9,2.5129E9,1.4613E9,1.5875E9,91,91,148,92,106,133,128,95,74,152,148,102,128,99,Oxidation (M); Dihydroxy; Deamidation (NQ); Sodium adduct; Formylation; 11 more,34956,TRINITY_DN12754_c0_g1_i1.p1
3,17,TRINITY_DN5432_c0_g1_i1.p1,465.81,74,62,58,58,62,63,60,57,68,67,64,60,59,3.8581E9,1.6998E9,2.259E9,3.6732E9,2.4169E9,1.956E9,6.0581E8,4.8411E9,2.861E9,4.4929E9,2.5496E9,1.7898E9,138,138,219,125,167,194,174,157,82,233,216,197,182,144,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 22 more,54252,TRINITY_DN5432_c0_g1_i1.p1
33,144,TRINITY_DN38841_c0_g1_i1.p1,451.22,74,64,64,66,64,66,48,55,70,48,74,57,67,2.2712E8,4.0519E8,1.9049E8,4.0461E8,1.6789E8,7.5787E7,1.4177E8,2.3073E8,7.1963E7,5.0694E8,7.8819E7,4.3833E8,74,50,59,70,64,91,53,27,46,58,29,79,33,85,Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); Carbamylation; 8 more,30043,TRINITY_DN38841_c0_g1_i1.p1
10,8,TRINITY_DN47947_c0_g1_i2.p1,445.99,80,61,72,68,65,66,64,73,61,62,69,61,67,5.0723E8,1.3422E9,3.5256E8,6.6042E8,4.8354E8,6.2432E8,1.4562E9,7.6124E8,3.651E8,1.0493E9,3.8645E8,9.0003E8,91,91,81,132,75,92,80,112,155,88,64,104,70,116,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 13 more,61542,TRINITY_DN47947_c0_g1_i2.p1
19,709,TRINITY_DN48334_c1_g1_i7.p1,443.57,91,91,91,91,91,91,91,47,91,70,91,91,91,8.6839E7,6.4261E7,2.8679E7,5.7911E7,1.0771E8,1.5836E8,,1.026E8,3.461E7,2.7329E8,4.717E7,4.1694E7,65,14,92,70,36,51,74,149,13,96,78,143,87,68,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 6 more,14198,TRINITY_DN48334_c1_g1_i7.p1
19,710,TRINITY_DN48334_c1_g1_i9.p1,443.57,91,91,91,91,91,91,91,47,91,70,91,91,91,8.6839E7,6.4261E7,2.8679E7,5.7911E7,1.0771E8,1.5836E8,,1.026E8,3.461E7,2.7329E8,4.717E7,4.1694E7,65,14,92,70,36,51,74,149,13,96,78,143,87,68,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 6 more,14223,TRINITY_DN48334_c1_g1_i9.p1
